"","lake","Collection Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH4 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (mg/L)"
"46","Tanners",2023-07-05,"Epi",3.77232949114422,3.0555,NA,NA,0.0247,0.0052,30.0172,8.5538,1.7576,204.45
"47","Parkers",2023-07-06,"Hypo",NA,96.021,NA,NA,0.0417,0.0024,NA,NA,10.6779,519.12
"48","Parkers",2023-07-06,"Epi",2.70311385999438,3.6209,NA,NA,0.0173,0.0034,21.9439,6.2105,2.9578,286.5
"49","Bde Maka Ska",2023-07-07,"Hypo",NA,204.2994,NA,NA,0.6202,0.0041,NA,NA,2.9621,164.95
"50","Bde Maka Ska",2023-07-07,"Epi",1.14735338768625,1.9557,NA,NA,0.0197,0.0764,27.1944,6.1488,0.9731,171.79
"51","Brownie",2023-07-07,"Hypo",NA,65.7108,NA,NA,44.384,0.0024,NA,NA,17.0564,1280.5
"52","Brownie",2023-07-07,"Epi",52.1861163902165,121.2169,NA,NA,0.0227,0.0033,23.5233,7.3706,5.7312,372.46
"53","Cedar",2023-07-07,"Hypo",NA,159.3753,NA,NA,0.9127,6e-04,NA,NA,5.0754,167.18
"54","Cedar",2023-07-07,"Epi",7.44778633680067,2.8615,NA,NA,0.014,0.0017,20.6762,8.8331,1.4918,168.77
"55","Uhlenkolts",2023-07-11,"Hypo",NA,253.989,NA,NA,0.2104,NA,NA,NA,5.2726,32.82
"56","Uhlenkolts",2023-07-11,"Epi",129.580104582513,199.829,NA,NA,0.0317,NA,30.1917,17.2197,5.1697,33
"57","Smith",2023-07-11,"Hypo",NA,84.2076,NA,NA,0.1816,NA,NA,NA,22.6335,15.44
"58","Smith",2023-07-11,"Epi",35.9515186955299,3.65,NA,NA,0.0084,NA,33.4541,9.172,21.2404,14.82
"59","Henry",2023-07-11,"Hypo",NA,32.8829,NA,NA,1.2018,NA,NA,NA,2.2334,431.2
"60","Henry",2023-07-11,"Epi",4.77662115568659,1.1919,NA,NA,0.115,NA,31.7449,9.2131,0.7159,470
"61","Smith",2023-08-02,"Epi",NA,13.5005,57.842,1.2583,0.0083,-8e-04,30.0619,8.6457,18.0104,15.98
"62","Smith",2023-08-02,"Hypo",NA,239.5928,967.15,1.643,0.7423,-4e-04,NA,NA,19.9784,16.16
"63","Henry",2023-08-02,"Epi",NA,4.616,16.4,1.6696,0.0123,0.4772,27.9364,8.8795,0.6705,445.6
"64","Henry",2023-08-02,"Hypo",NA,4964.312,574.882,3.8816,1.624,0.0419,NA,NA,4.1244,435.48
"65","Uhlenkolts",2023-08-02,"Epi",NA,144.6265,443.276,4.3061,0.0176,0.0011,29.2512,16.4599,6.4611,33.8
"66","Uhlenkolts",2023-08-02,"Hypo",NA,771.084,1493.749,6.4602,3.2898,7e-04,NA,NA,7.0304,35.67
"67","Bde Maka Ska",2023-08-10,"Epi",NA,2.4404,15.5254,0.5446,0.0099,9e-04,24.9281,6.8234,1.5924,171.6
"68","Bde Maka Ska",2023-08-10,"Hypo",NA,265.335,1175.834,1.5635,0.8056,0.0019,NA,NA,3.5552,168.55
"69","Cedar",2023-08-10,"Epi",NA,2.006,20.0876,0.7153,0.0226,0.002,23.5369,8.7637,1.7666,167.53
"70","Cedar",2023-08-10,"Hypo",NA,6.5514,356.6896,3.7653,2.5157,0.0018,NA,NA,7.298,167.72
"71","Brownie",2023-08-10,"Epi",NA,3.9462,28.8589,0.6837,0.0211,0.0014,27.3488,8.2464,7.2046,337.7
"72","Brownie",2023-08-10,"Hypo",NA,4043.316,667.558,23.686,16.0599,0.0026,NA,NA,16.576,1115.5
"73","Minnetonka",2023-08-08,"Epi",NA,2.3099,12.5575,0.474,0.0086,3e-04,29.5689,8.119,1.9407,52.99
"74","Minnetonka",2023-08-08,"Hypo",NA,77.1373,146.1005,0.6634,0.2375,0.0956,NA,NA,7.4128,50.7
"75","Medicine",2023-08-08,"Epi",NA,2.7904,34.6109,0.7878,0.0124,0.0011,21.8199,7.6859,7.0431,211.5
"76","Medicine",2023-08-08,"Hypo",NA,331.2174,374.8042,1.2523,0.4455,0.0029,NA,NA,12.1115,193.08
