"","lake","Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH4 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (mg/L)"
"33","Wabasso",2023-07-05,"Epi",1.27200899634523,4.2507,18.0412,0.748,0.0148,0.0012,20.1166,9.174,0.6559,67.05
"34","Phalen",2023-07-05,"Hypo",NA,86.1765,298.6992,1.694,0.8782,0.0044,36.2358,27.6717,5.4783,187.67
"35","Phalen",2023-07-05,"Epi",4.68770761877987,2.1529,19.1598,0.71,0.0185,0.0019,22.0958,8.7204,1.1317,199.26
"36","Little Johanna",2023-07-05,"Epi",45.5281281979196,7.8577,92.8119,1.289,0.0639,0.0885,14.1489,9.0969,2.9021,305.44
"37","Little Johanna",2023-07-05,"Hypo",NA,170.5526,3384.152,30.776,27.262,0.0048,101.706,52.9689,11.3852,1311.4
"38","Wabasso",2023-07-05,"Hypo",NA,262.731,482.4552,2.947,1.8179,0.0018,35.6795,28.056,3.9437,69.22
"39","McCarrons",2023-07-05,"Hypo",NA,204.7116,18.764,0.638,0.0193,0.0045,47.1948,32.6092,1.2475,162.16
"40","Medicine",2023-07-06,"Hypo",NA,303.2146,916.4212,1.13,0.3269,0.0012,33.5348,28.5489,9.9406,192.24
"41","Minnetonka",2023-07-06,"Hypo",NA,20.5254,393.1048,0.923,0.0999,0.1014,33.1974,27.9865,4.2609,51.27
"42","Minnetonka",2023-07-06,"Epi",1.22460950238965,2.6344,1.3521,0.695,0.0175,0.0017,30.2077,8.5207,1.4147,53.36
"43","Medicine",2023-07-06,"Epi",22.2359786336801,4.6228,55.3059,0.854,0.0206,0.0018,24.981,11.3221,5.9756,207.49
"44","Tanners",2023-07-05,"Hypo",NA,163.5484,787.4452,2.525,1.0618,0.0066,42.2366,33.385,7.7759,264.18
"45","Tanners",2023-07-05,"Epi",3.77232949114422,3.0555,24.9084,0.78,0.0247,0.0052,30.0172,8.5538,1.7576,204.45
"46","Parkers",2023-07-06,"Hypo",NA,96.021,887.4992,1.067,0.0417,0.0024,51.2584,37.8834,10.6779,519.12
"47","Parkers",2023-07-06,"Epi",2.70311385999438,3.6209,24.8116,0.566,0.0173,0.0034,21.9439,6.2105,2.9578,286.5
"48","Bde Maka Ska",2023-07-07,"Hypo",NA,204.2994,295.4748,1.421,0.6202,0.0041,36.6385,30.6992,2.9621,164.95
"49","Bde Maka Ska",2023-07-07,"Epi",1.14735338768625,1.9557,20.3675,0.573,0.0197,0.0764,27.1944,6.1488,0.9731,171.79
"50","Brownie",2023-07-07,"Hypo",NA,65.7108,3287.2,20.073,44.384,0.0024,88.0308,57.624,17.0564,1280.5
"51","Brownie",2023-07-07,"Epi",52.1861163902165,2.3267,109.2928,1.578,0.0227,0.0033,23.5233,7.3706,5.7312,372.46
"52","Cedar",2023-07-07,"Hypo",NA,159.3753,279.0508,2.259,0.9127,6e-04,39.509,32.4268,5.0754,167.18
"53","Cedar",2023-07-07,"Epi",7.44778633680067,2.8615,24.9726,0.829,0.014,0.0017,20.6762,8.8331,1.4918,168.77
"54","Uhlenkolts",2023-07-11,"Hypo",NA,253.989,471.2994,3.0714,0.2104,NA,34.8368,19.3008,5.2726,32.82
"55","Uhlenkolts",2023-07-11,"Epi",129.580104582513,199.829,458.6316,3.5017,0.0317,NA,30.1917,17.2197,5.1697,33
"56","Smith",2023-07-11,"Hypo",NA,84.2076,247.5113,44.484,0.1816,NA,40.9812,10.0456,22.6335,15.44
"57","Smith",2023-07-11,"Epi",35.9515186955299,3.65,50.6116,0.8056,0.0084,NA,33.4541,9.172,21.2404,14.82
"58","Henry",2023-07-11,"Hypo",NA,32.8829,159.6933,2.1376,1.2018,NA,48.2651,9.91,2.2334,431.2
"59","Henry",2023-07-11,"Epi",4.77662115568659,1.1919,12.8859,1.1582,0.115,NA,31.7449,9.2131,0.7159,470
"60","Smith",2023-08-02,"Epi",9.222,13.5005,57.842,1.2583,0.0083,-8e-04,30.0619,8.6457,18.0104,15.98
"61","Smith",2023-08-02,"Hypo",NA,239.5928,967.15,1.643,0.7423,-4e-04,41.9364,9.9891,19.9784,16.16
"62","Henry",2023-08-02,"Epi",0.942,4.616,16.4,1.6696,0.0123,0.4772,27.9364,8.8795,0.6705,445.6
"63","Henry",2023-08-02,"Hypo",NA,88.7131,574.882,3.8816,1.624,0.0419,54.7257,10.354,4.1244,435.48
"64","Uhlenkolts",2023-08-02,"Epi",42.447,144.6265,443.276,4.3061,0.0176,0.0011,29.2512,16.4599,6.4611,33.8
"65","Uhlenkolts",2023-08-02,"Hypo",NA,771.084,1493.749,6.4602,3.2898,7e-04,42.7753,19.7648,7.0304,35.67
"66","Bde Maka Ska",2023-08-10,"Epi",1.794,2.4404,15.5254,0.5446,0.0099,9e-04,24.9281,6.8234,1.5924,171.6
"67","Bde Maka Ska",2023-08-10,"Hypo",NA,265.335,1175.834,1.5635,0.8056,0.0019,38.2226,8.0007,3.5552,168.55
"68","Cedar",2023-08-10,"Epi",3.391,2.006,20.0876,0.7153,0.0226,0.002,23.5369,8.7637,1.7666,167.53
"69","Cedar",2023-08-10,"Hypo",NA,6.5514,356.6896,3.7653,2.5157,0.0018,44.8911,9.6093,7.298,167.72
"70","Brownie",2023-08-10,"Epi",13.063,3.9462,28.8589,0.6837,0.0211,0.0014,27.3488,8.2464,7.2046,337.7
"71","Brownie",2023-08-10,"Hypo",NA,216.5099,667.558,23.686,16.0599,0.0026,95.5806,9.9057,16.576,1115.5
"72","Minnetonka",2023-08-08,"Epi",1.278,2.3099,12.5575,0.474,0.0086,3e-04,29.5689,8.119,1.9407,52.99
"73","Minnetonka",2023-08-08,"Hypo",NA,77.1373,146.1005,0.6634,0.2375,0.0956,36.3253,9.5797,7.4128,50.7
"74","Medicine",2023-08-08,"Epi",4.321,2.7904,34.6109,0.7878,0.0124,0.0011,21.8199,7.6859,7.0431,211.5
"75","Medicine",2023-08-08,"Hypo",NA,331.2174,374.8042,1.2523,0.4455,0.0029,35.6938,9.5274,12.1115,193.08
"76","Parkers",2023-08-08,"Epi",1.771,2.3112,22.1865,0.5982,0.0089,3e-04,21.4908,6.8441,2.7352,270.92
"77","Parkers",2023-08-08,"Hypo",NA,44.7144,217.6616,1.0531,0.8017,9e-04,54.7277,7.3482,12.4557,575.9
"78","Snail",2023-08-07,"Epi",0.275,5.2339,17.0701,0.6918,0.0154,0.0017,12.4433,8.5147,0.4156,116.42
"79","Snail",2023-08-07,"Hypo",NA,62.6306,199.5918,0.8172,0.0621,0.0059,26.1914,9.5503,1.3884,106.58
"80","Little Johanna",2023-08-07,"Epi",2.19,21.2706,60.5757,0.8303,0.0884,0.1156,13.325,8.1582,2.595,121.2
"81","Little Johanna",2023-08-07,"Hypo",NA,198.1144,266.5834,33.104,32.4819,0.0091,84.6288,14.0611,17.8744,1254.7
"82","Wabasso",2023-08-09,"Epi",0.286,4.8613,17.0306,0.7886,0.0172,0.0013,21.9128,9.2542,0.8192,66.76
"83","Wabasso",2023-08-09,"Hypo",NA,149.9743,331.7188,2.9077,1.761,0.0018,30.0061,11.2697,4.8042,69.53
"84","McCarrons",2023-08-07,"Epi",0.336,2.2849,19.9162,0.5878,0.0129,9e-04,28.5263,6.6581,1.5414,139.78
"85","McCarrons",2023-08-07,"Hypo",NA,93.2451,119.534,2.4237,2.1742,0.0034,46.2879,9.3356,8.1945,158.87
"86","Tanners",2023-08-07,"Epi",1.755,3.4338,17.1564,0.8289,0.017,0.0011,28.6497,8.4105,2.493,199.73
"87","Tanners",2023-08-07,"Hypo",NA,221.2112,316.6632,3.3528,3.1939,0.0061,46.1119,11.6115,10.2295,273.7
"88","Phalen",2023-08-07,"Epi",0.399,3.4669,12.2703,0.6343,0.0139,0.0024,20.0202,8.0194,1.9492,203.26
"89","Phalen",2023-08-07,"Hypo",NA,71.3613,99.1259,1.3382,0.2528,0.2821,32.83,9.4675,3.6869,185.55
"90","Smith",2023-09-06,"Epi",NA,2.4173,83.8892,1.4026,0.0206,0.0019,34.352,10.4352,3.3537,17.37
"91","Henry",2023-09-06,"Epi",27.4502963171212,7.1019,24.7069,1.5534,0.0951,0.2501,29.6804,11.132,1.6179,495.84
"92","Uhlenkolts",2023-09-06,"Epi",29.5684723081248,249.3734,572.7047,4.7772,0.8361,0.0045,39.7884,19.1491,8.8593,38.99
"93","Henry",2023-09-06,"Hypo",NA,123.4617,151.221,7.037,5.3228,0.0163,71.6118,11.1592,8.0128,472.2
"94","Smith",2023-09-06,"Hypo",NA,153.7104,291.1583,1.4233,0.0849,0.0079,35.472,11.7017,3.4085,19.2
"95","Uhlenkolts",2023-09-06,"Hypo",NA,268.149,532.8896,4.6497,0.7931,0.0097,40.1554,19.7423,9.6267,39.89
"96","Minnetonka",2023-09-11,"Epi",4.2119523943398,2.1554,17.5141,0.6936,0.008,0.001,29.9111,7.9467,2.9334,59.91
"97","Medicine",2023-09-11,"Epi",12.0326522350295,13.0307,46.5076,0.8878,0.0773,0.013,22.9804,9.4993,8.4147,206.48
"98","Parkers",2023-09-11,"Epi",11.4765986318058,2.2496,25.046,0.5797,0.0089,0.0013,26.6827,7.8338,5.3026,258.64
"99","Snail",2023-09-14,"Epi",9.38397413550745,2.1254,17.193,0.8526,0.0096,0.0027,15.1922,8.5633,0.2841,122.94
"100","Little Johanna",2023-09-12,"Epi",11.0192847905538,3.69,38.6238,0.7737,0.0145,0.0114,15.3439,7.3255,0.7835,153.16
