"","lake","Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH4 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (mg/L)"
"197","McCarrons",2024-05-13,"Hypo",NA,63.2029,117.0598,0.1723,NA,0.0476,38.7945,9.2142,1.3653,NA
"198","McCarrons",2024-05-13,"Epi",1.94,8.7984,32.7745,0.1832,NA,0.0187,34.5408,9.1971,0.1994,NA
"199","Tanners",2024-05-13,"Hypo",NA,224.922,295.858,0.1806,NA,0.0024,35.3572,0.115,1.1109,NA
"200","Tanners",2024-05-13,"Epi",0.71,23.2729,57.8295,0.1744,NA,-0.0035,31.1215,10.3404,1.0431,NA
"201","Phalen",2024-05-13,"Hypo",NA,115.9151,163.9027,0.1729,NA,-1e-04,30.532,10.2049,1.4374,NA
"202","Phalen",2024-05-13,"Epi",2.93,13.7055,38.5173,0.1912,NA,0,28.755,9.9774,0.7463,NA
"203","Parkers",2024-05-14,"Hypo",NA,114.8882,169.8041,0.1798,NA,-4e-04,41.2742,8.2158,2.9043,NA
"204","Parkers",2024-05-14,"Epi",4.91,11.6865,36.8967,0.1751,NA,0,37.2366,8.4994,0.4029,NA
"205","Little Johanna",2024-05-14,"Hypo",NA,1895.7336,3324.572,643.852,NA,0,72.68,16.1144,2.3192,NA
"206","Little Johanna",2024-05-14,"Epi",1.09,11.3519,37.548,0.1671,NA,0.0368,18.7327,9.5965,1.5434,NA
"207","Bde Maka Ska",2024-05-14,"Hypo",NA,3.9375,16.3045,0.1859,NA,0.0359,32.1216,8.1345,0.1994,NA
"208","Bde Maka Ska",2024-05-14,"Epi",8.05,4.0601,19.8542,0.1617,NA,2e-04,30.0238,8.1121,-0.0804,NA
"209","Cedar",2024-05-14,"Hypo",NA,72.6096,129.8184,0.1531,NA,0.0016,35.1385,10.0663,2.0521,NA
"210","Cedar",2024-05-14,"Epi",3.47,8.7854,28.815,0.1872,NA,-9e-04,31.2518,10.5426,0.2884,NA
"211","Brownie",2024-05-14,"Hypo",NA,1480.3345,1662.286,21.1992,NA,0.0045,78.8896,11.6377,2.5694,NA
"212","Brownie",2024-05-14,"Epi",81.62,10.9848,26.3781,0.154,NA,0.0589,35.5866,7.0154,3.977,NA
"213","Minnetonka",2024-05-16,"Hypo",NA,8.785,14.1722,0.2019,NA,0.0059,32.6654,12.1068,0.7294,NA
"214","Minnetonka",2024-05-16,"Epi",0.52,20.8433,18.6715,0.2071,NA,-0.0013,32.4589,11.8677,0.475,NA
"215","Medicine",2024-05-16,"Hypo",NA,17.5595,62.6501,0.1501,NA,0.0076,32.2602,10.5727,6.1392,NA
"216","Medicine",2024-05-16,"Epi",3.98,22.228,80.506,0.189,NA,-0.001,30.158,11.4317,2.2641,NA
"217","Smith",2024-06-13,"Hypo",NA,38.2869,76.7955,1.1184,NA,0.0147,42.0815,10.5626,16.9996,NA
"218","Smith",2024-06-13,"Epi",6.61,106.4054,161.7268,1.6341,NA,0.0037,42.1361,11.2836,15.9466,NA
"219","Henry",2024-06-13,"Hypo",NA,42.6538,97.7663,4.215,NA,0.0125,48.7204,12.0348,3.5819,NA
"220","Henry",2024-06-13,"Epi",2.93,17.1286,41.5167,3.4636,NA,0.3212,43.8222,12.9714,0.1136,NA
"221","Uhlenkolts",2024-06-13,"Hypo",NA,385.2224,613.869,4.2316,NA,0.0041,45.5287,18.6817,8.8467,NA
"222","Uhlenkolts",2024-06-13,"Epi",111.32,353.5771,597.3412,4.9153,NA,0.0025,44.2724,19.2218,8.404,NA
"223","Brownie",2024-06-17,"Hypo",NA,4005.563,4091.808,29.82,NA,0.0081,73.393,11.7438,2.7138,NA
"224","Brownie",2024-06-17,"Epi",50.52,98.2776,171.9567,1.6736,NA,0.0948,26.3966,6.2552,3.2166,NA
"225","Snail",2024-06-19,"Hypo",NA,32.9492,97.474,2.4866,NA,0.0033,24.7237,10.4805,0.4875,NA
"226","Snail",2024-06-19,"Epi",2.79,57.9264,113.2639,1.6954,NA,0.0021,15.0617,13.8926,0.1781,NA
"227","Wabasso",2024-06-19,"Hypo",NA,128.1992,192.705,2.6714,NA,0.002,27.5873,11.3152,1.7725,NA
"228","Wabasso",2024-06-19,"Epi",2.74,65.9768,114.541,3.8365,NA,0.0014,20.4744,12.1744,0.4961,NA
"229","McCarrons",2024-06-19,"Hypo",NA,133.7634,196.714,1.5839,NA,0.0039,39.9487,8.5029,2.1379,NA
"230","McCarrons",2024-06-19,"Epi",8.22,42.5761,72.6844,4.5786,NA,0.0038,31.2249,8.96,0.956,NA
"231","Tanners",2024-06-19,"Hypo",NA,533.4152,607.8786,2.1234,NA,0.0031,37.9632,11.6456,2.0519,NA
"232","Tanners",2024-06-19,"Epi",12.45,21.3733,49.9134,3.4762,NA,0.0113,28.3365,12.3289,0.7712,NA
"233","Phalen",2024-06-19,"Hypo",NA,208.7109,235.4186,2.0828,NA,4e-04,32.623,10.6745,2.2539,NA
"234","Phalen",2024-06-19,"Epi",16.35,24.5131,61.5345,1.2528,NA,0.006,27.2829,10.6217,2.1593,NA
"235","Minnetonka",2024-06-20,"Epi",1.21,12.4465,34.0016,1.2264,NA,0.0049,31.2409,10.4128,1.0548,NA
"236","Minnetonka",2024-06-20,"Hypo",NA,13.7346,48.9894,1.5504,NA,0.0292,33.9314,10.5182,2.5934,NA
"237","Medicine",2024-06-20,"Epi",3.65,13.2749,64.5374,1.5979,NA,0.0102,29.6644,10.3285,3.1006,NA
"238","Medicine",2024-06-20,"Hypo",NA,36.797,59.8823,1.949,NA,0.0059,32.5429,9.7435,8.0516,NA
"239","Parkers",2024-06-20,"Epi",13.81,231.4819,304.7597,2.1022,NA,0.0012,44.2188,8.7625,4.9099,NA
"240","Parkers",2024-06-20,"Hypo",NA,34.8735,122.8432,4.1162,NA,0.0088,28.1939,8.6501,4.6649,NA
"241","Little Johanna",2024-06-27,"Epi",14.12,26.1026,97.1388,1.1191,NA,0.1371,14.5982,7.9009,2.4043,NA
"242","Little Johanna",2024-06-27,"Hypo",NA,3222.882,4006.908,53.812,NA,0.0123,99.2424,19.6248,2.5504,NA
"243","Cedar",2024-06-27,"Epi",7.64,26.6589,61.335,0.8538,NA,0.0034,27.8188,11.0888,2.0218,NA
"244","Cedar",2024-06-27,"Hypo",NA,199.2346,202.2772,2.7132,NA,0.0072,38.8045,10.706,3.612,NA
"245","Bde Maka Ska",2024-06-27,"Epi",5.68,15.4943,41.5219,0.6498,NA,0.0091,27.4966,8.2315,0.7884,NA
"246","Bde Maka Ska",2024-06-27,"Hypo",NA,88.1526,124.455,1.4671,NA,0.0069,35.0832,8.0478,1.6909,NA
"247","Wabasso",2024-07-08,"Hypo",NA,128.1992,200.0315,2.116,NA,0.04,NA,NA,2.0404,NA
"248","Wabasso",2024-07-08,"Epi",5.89,48.0965,62.8931,1.2049,NA,0.0221,21.4691,12.5002,0.6412,NA
"249","McCarrons",2024-07-08,"Hypo",NA,133.7634,218.1402,2.2186,NA,0.0074,42.3766,8.6625,3.7211,NA
"250","McCarrons",2024-07-08,"Epi",10.72,42.5761,46.122,0.851,NA,0.0087,NA,NA,2.2631,NA
"251","Phalen",2024-07-08,"Hypo",NA,224.8087,240.9074,1.7387,NA,0.0067,34.2396,10.9164,2.843,NA
"252","Phalen",2024-07-08,"Epi",8.6797143660388,24.5131,46.4804,1.0285,NA,0.0019,26.9449,11.3076,2.6749,NA
"253","Snail",2024-07-10,"Hypo",4.52,32.9492,67.8598,1.194,NA,0.0049,23.9929,10.8957,0.8471,NA
"254","Snail",2024-07-10,"Epi",3.19,2.7088,20.7752,0.657,NA,0.0041,14.3146,12.1474,0.137,NA
"255","Little Johanna",2024-07-10,"Hypo",NA,3026.361,3784.188,28.274,NA,0.0084,77.526,18.0263,2.0362,NA
"256","Little Johanna",2024-07-10,"Epi",3.4,26.1026,116.8119,0.8874,NA,0.1291,18.7358,9.9802,1.5194,NA
"257","Tanners",2024-07-10,"Hypo",3.19517149283104,463.6071,NA,NA,NA,0.0068,35.5608,12.4202,3.0909,NA
"258","Tanners",2024-07-10,"Epi",1.8430025302221,5.107,30.0734,0.776,NA,0.0096,25.387,14.1975,2.8304,NA
"259","Bde Maka Ska",2024-07-09,"Hypo",NA,125.727,126.0879,1.2578,NA,0.0069,35.9581,7.8722,2.1287,NA
"260","Bde Maka Ska",2024-07-09,"Epi",3.22867397619717,2.9621,30.9437,0.584,NA,0.0091,27.1768,8.3144,1.2169,NA
"261","Cedar",2024-07-09,"Hypo",3.76046427567372,229.2989,231.9366,1.6533,NA,0.0072,40.5945,11.5257,4.5573,NA
"262","Cedar",2024-07-09,"Epi",4.56980226782869,4.1812,28.381,0.8918,NA,0.0034,27.2667,11.5066,2.1118,NA
"263","Brownie",2024-07-09,"Hypo",NA,2333.948,3444.63,12.03,NA,0.0048,81.49,11.8796,2.8262,NA
"264","Brownie",2024-07-09,"Epi",23.0880661873971,5.2337,51.0157,0.8498,NA,0.0547,30.3305,7.257,4.1833,NA
"265","Minnetonka",2024-07-11,"Hypo",NA,32.5827,45.9922,0.9452,NA,0.1237,34.6194,11.682,4.5951,NA
"266","Minnetonka",2024-07-11,"Epi",1.57,6.5426,24.1991,0.8664,NA,0.0076,31.4808,11.9718,1.7337,NA
"267","Medicine",2024-07-11,"Hypo",3.13,31.7902,58.1847,1.2003,NA,0.0171,31.3427,11.5395,6.0994,NA
"268","Medicine",2024-07-11,"Epi",4.35,5.1785,33.7888,0.8376,NA,0.0044,28.1866,11.964,2.2127,NA
"269","Parkers",2024-07-11,"Hypo",20.38,414.689,467.5914,3.5683,NA,0.0014,49.9897,8.801,7.6246,NA
"270","Parkers",2024-07-11,"Epi",9.51,5.0324,35.5294,0.896,NA,0.0071,24.1223,9.3888,4.3472,NA
"271","Smith",2024-07-15,"Hypo",NA,59.7017,95.2005,1.0298,NA,0.007,44.313,11.943,23.6144,NA
"272","Smith",2024-07-15,"Epi",29.24,6.7182,64.8271,1.4248,NA,0.0074,36.624,13.2086,22.5596,NA
"273","Henry",2024-07-15,"Hypo",NA,7.3361,42.9999,4.2089,NA,0.0062,57.4468,13.396,4.3892,NA
"274","Henry",2024-07-15,"Epi",NA,4.7589,26.6896,1.166,NA,0.1385,29.9718,14.6777,1.616,NA
"275","Uhlenkolts",2024-07-15,"Hypo",NA,606.171,785.7859,3.8625,NA,0.0056,48.892,21.7797,11.3979,NA
"276","Uhlenkolts",2024-07-15,"Epi",56.62,421.212,597.1844,3.4794,NA,0.0055,43.948,21.3187,10.692,NA
"277","Bde Maka Ska",2024-08-06,"Hypo",NA,150.1125,184.193,1.3519,NA,0.8038,31.8912,8.8091,2.3616,NA
"278","Bde Maka Ska",2024-08-06,"Epi",26.68,4.3272,35.4484,0.9039,NA,0.0111,23.5231,9.5393,1.979,NA
"279","Cedar",2024-08-06,"Hypo",7.25257239,279.4375,346.2116,2.8727,NA,0.0079,39.0059,11.399,5.1079,NA
"280","Cedar",2024-08-06,"Epi",41.76,3.6335,47.0066,1.2044,NA,0.0067,29.362,11.747,2.9908,NA
"281","Brownie",2024-08-06,"Hypo",NA,3022.52,3764.766,24.0867,NA,0.0052,81.49,12.3153,23.7224,NA
"282","Brownie",2024-08-06,"Epi",19.33,6.2231,39.2471,0.9308,NA,0.0337,31.0963,8.1805,6.0219,NA
"283","Snail",2024-08-08,"Hypo",25.1333730671915,3.5281,51.0677,0.9261,NA,0.0021,26.7698,10.8076,0.5762,NA
"284","Snail",2024-08-08,"Epi",4.43229687939275,3.3905,29.0167,0.7942,NA,0.0082,16.7554,12.0516,0.5294,NA
"285","Little Johanna",2024-08-08,"Hypo",NA,21.1736,47.6703,0.9261,NA,0.182,11.9787,8.3518,2.774,NA
"286","Little Johanna",2024-08-08,"Epi",NA,12.2488,71.5371,1.0209,NA,0.2061,12.1213,8.4947,2.8038,NA
"287","Tanners",2024-08-08,"Hypo",3.67089120044982,631.5544,641.7274,2.9111,NA,NA,41.0858,12.5002,3.8113,NA
"288","Tanners",2024-08-08,"Epi",13.2705538375035,3.5148,48.7366,1.2427,NA,0.0102,29.0538,14.7497,4.3087,NA
"289","Wabasso",2024-08-09,"Hypo",NA,393.5832,435.8836,2.3794,NA,0.0027,25.9338,12.148,3.2119,NA
"290","Wabasso",2024-08-09,"Epi",6.94240764689345,3.8819,43.8009,0.9097,NA,0.0023,16.1455,12.5731,0.8015,NA
"291","McCarrons",2024-08-09,"Hypo",NA,302.5315,335.3514,2.7306,NA,0.0026,33.4413,9.39,4.5383,NA
"292","McCarrons",2024-08-09,"Epi",20.8610127135851,2.3846,40.801,0.9678,NA,0.0042,22.7017,9.6853,3.1651,NA
"293","Phalen",2024-08-09,"Hypo",NA,325.0406,381.7055,2.4674,NA,0.0044,27.1432,11.3451,3.2714,NA
"294","Phalen",2024-08-09,"Epi",21.963065,2.1785,46.7421,1.1056,NA,0.0028,20.2529,11.5952,3.7645,NA
"295","Smith",2024-08-12,"Hypo",NA,44.7875,106.6095,1.2618,NA,0.0307,35.7602,23.4197,6.6213,NA
"296","Smith",2024-08-12,"Epi",114.958718020804,8.5501,205.5179,2.109,NA,0.0054,36.3144,23.1396,6.2727,NA
"297","Henry",2024-08-12,"Hypo",NA,37.994,74.8634,4.727,NA,0.0072,36.5357,23.2542,7.8584,NA
"298","Henry",2024-08-12,"Epi",26.3146953692919,5.1301,28.4608,1.2474,NA,0.011,33.8451,33.3226,3.2246,NA
"299","Uhlenkolts",2024-08-12,"Hypo",NA,399.2054,613.3056,3.2836,NA,0.0767,33.2566,32.2455,14.4818,NA
"300","Uhlenkolts",2024-08-12,"Epi",207.893663199325,368.6835,730.5503,4.082,NA,0.0159,33.4297,33.6579,14.5413,NA
"301","Minnetonka",2024-08-07,"Hypo",NA,34.3799,59.2288,0.8845,NA,0.1791,9.5439,22.9064,5.6563,NA
"302","Minnetonka",2024-08-07,"Epi",4.11635423109362,4.9305,29.4784,0.9275,NA,0.0048,9.3201,22.3804,2.8548,NA
"303","Medicine",2024-08-07,"Hypo",0.778372786055665,311.644,355.6158,1.7842,NA,0.0049,10.5863,21.5884,12.0033,NA
"304","Medicine",2024-08-07,"Epi",17.483373629463,11.1132,59.4256,0.9748,NA,0.0559,9.3247,21.2606,5.2907,NA
"305","Parkers",2024-08-07,"Hypo",21.2130700028114,483.291,540.4712,3.246,NA,-0.0014,10.8802,20.7101,8.2368,NA
"306","Parkers",2024-08-07,"Epi",18.2050323306157,4.0176,35.7125,0.9096,NA,0.0032,10.7124,21.8072,4.0324,NA
"307","Cedar",2024-09-16,"Hypo",6.57785774529098,357.5326,398.042,3.987,NA,0.0055,39.0059,11.2776,5.8413,NA
"308","Cedar",2024-09-16,"Epi",11.9636435198201,4.1435,38.106,1.272,NA,0.0059,29.362,11.7584,1.4908,NA
"309","Brownie",2024-09-16,"Hypo",4.05585605847624,132.357,1164.369,27.366,NA,0.0038,84.0576,12.0353,23.268,NA
"310","Brownie",2024-09-16,"Epi",26.1248107956143,1.7772,20.985,0.777,NA,0.006,31.0963,8.9796,5.5002,NA
"311","Bde Maka Ska",2024-09-16,"Epi",11.7276637615969,4.191,30.856,1.009,NA,0.0067,23.5231,8.807,2.3892,NA
"312","Bde Maka Ska",2024-09-16,"Hypo",NA,217.2565,224.221,2.052,NA,0.0055,31.8912,8.1049,2.9091,NA
"313","Snail",2024-06-17,"Hypo",36.5401855496205,3.2493,60.677,1.635,NA,0.0068,26.378,10.6729,1.8152,NA
"314","Snail",2024-06-17,"Epi",4.28615406241215,3.811,24.159,0.94,NA,0.0078,19.2678,12.4094,0.5342,NA
"315","Little Johanna",2024-06-17,"Hypo",NA,175.112,427.103,44.757,NA,0.0064,119.4114,13.2421,18.859,NA
"316","Little Johanna",2024-06-17,"Epi",29.6857651579046,3.4116,106.426,1.847,NA,0.0068,18.7452,8.6933,3.4622,NA
"317","Tanners",2024-06-17,"Hypo",7.39076750070284,314.7101,323.668,3.603,NA,0.0067,31.896,10.0147,4.3232,NA
"318","Tanners",2024-06-17,"Epi",16.52,2.7223,31.329,1.068,NA,0.0088,22.1034,10.9307,4.5727,NA
"319","Minnetonka",2024-09-18,"Hypo",NA,108.4588,127.175,0.885,NA,0.0023,45.027,7.0542,6.2905,NA
"320","Minnetonka",2024-09-18,"Epi",3.26,3.2061,20.876,0.897,NA,0.0046,29.5492,7.4885,3.5704,NA
"321","Medicine",2024-09-18,"Hypo",1.59,40.6289,67.221,0.795,NA,0.0179,32.3633,9.8359,5.7373,NA
"322","Medicine",2024-09-18,"Epi",16.73,14.6875,75.817,1.25,NA,0.0027,27.8959,9.3867,3.9281,NA
"323","Parkers",2024-09-18,"Hypo",16.6,405.0504,413.557,3.132,NA,0.0061,26.1533,9.7824,7.6006,NA
"324","Parkers",2024-09-18,"Epi",6.87,3.6717,34.252,0.958,NA,0.0035,22.8876,7.773,2.6387,NA
"325","Wabasso",2024-09-19,"Hypo",NA,323.4451,370.515,2.348,NA,0.0074,31.896,10.0147,3.1752,NA
"326","Wabasso",2024-09-19,"Epi",5.34514478493112,3.3607,24.584,0.826,NA,0.0077,22.1034,10.9307,0.6049,NA
"327","McCarrons",2024-09-19,"Hypo",NA,265.9937,274.564,3.013,NA,0.0076,45.027,7.0542,4.2275,NA
"328","McCarrons",2024-09-19,"Epi",7.10251147971137,2.1122,27.707,0.836,NA,0.007,29.5492,7.4885,2.2228,NA
"329","Phalen",2024-09-19,"Hypo",NA,87.3538,335.381,2.609,NA,0.0073,35.9883,12.5178,3.3957,NA
"330","Phalen",2024-09-19,"Epi",10.4675794208603,3.03,26.488,0.874,NA,0.0105,27.349,13.9538,3.3582,NA
"331","Smith",2024-09-30,"Hypo",NA,6.6335,92.754,1.325,NA,0.0073,40.0363,10.3673,30.335,NA
"332","Smith",2024-09-30,"Epi",38.83,5.0139,80.033,1.284,NA,0.009,39.3888,10.6543,30.2518,NA
"333","Uhlenkolts",2024-09-30,"Hypo",NA,1.5451,30.378,1.233,NA,0.0115,34.9816,12.5635,4.2145,NA
"334","Uhlenkolts",2024-09-30,"Epi",72.93,3.204,37.672,1.524,NA,0.0281,34.9198,12.5645,4.1854,NA
"335","Henry",2024-09-30,"Hypo",NA,437.9883,674.876,3.725,NA,0.0644,50.6892,17.7959,17.6666,NA
"336","Henry",2024-09-30,"Epi",37.04,438.2203,694.904,3.601,NA,0.0641,49.4594,18.0314,17.625,NA
"337","Tanners",2024-10-17,"Hypo",7.06,558.6536,879.239,3.25,NA,0.0073,42.0073,13.8812,4.9223,NA
"338","Tanners",2024-10-17,"Epi",5.63,3.6788,34.45,1.039,NA,0.0105,30.3695,14.1666,3.7254,NA
"339","Snail",2024-10-17,"Hypo",2.32,2.9715,19.008,0.788,NA,0.0242,21.4224,13.0749,0.6412,NA
"340","Snail",2024-10-17,"Epi",3.1,2.6611,33.383,1.098,NA,0.0237,21.572,13.4319,0.6328,NA
"341","Minnetonka",2024-10-18,"Hypo",NA,134.1909,294.264,1.149,NA,0.0115,34.6701,12.9791,7.8412,NA
"342","Minnetonka",2024-10-18,"Epi",1.96,15.302,41.847,1.403,NA,0.0281,31.791,14.2526,4.3385,NA
"343","Medicine",2024-10-18,"Hypo",1.61,36.5228,69.848,0.851,NA,0.0644,26.0125,13.6474,6.138,NA
"344","Medicine",2024-10-18,"Epi",2.22,36.8174,69.767,0.961,NA,0.0641,25.6585,13.5847,6.1673,NA
"345","Parkers",2024-10-18,"Hypo",9.47,672.2407,762.974,5.624,NA,0.0068,52.6422,10.8134,10.8753,NA
"346","Parkers",2024-10-18,"Epi",5.6,8.9823,51.353,0.901,NA,0.0112,28.8752,10.6972,2.6646,NA
"347","Little Johanna",2024-10-24,"Hypo",NA,3105.4,3244.77,27.433,NA,0.008,77.1288,14.6974,1.474,NA
"348","Little Johanna",2024-10-24,"Epi",20.11,2.4896,63.502,1.455,NA,0.0871,20.6203,11.5255,4.3615,NA
"349","Wabasso",2024-10-24,"Hypo",NA,278.437,303.796,2.508,NA,0.0067,28.3833,14.0381,2.947,NA
"350","Wabasso",2024-10-24,"Epi",4.94,9.0495,25.255,0.81,NA,0.008,21.1474,14.8291,0.4403,NA
"351","McCarrons",2024-10-24,"Hypo",NA,394.26,467.876,3.862,NA,0.0076,41.8301,11.6762,6.0606,NA
"352","Phalen",2024-10-24,"Hypo",NA,306.198,343.519,2.276,NA,0.0085,31.1715,12.7896,4.9223,NA
"353","Phalen",2024-10-24,"Epi",4.42,16.4357,46.379,0.92,NA,0.0176,25.5873,13.085,3.7254,NA
"354","Bde Maka Ska",2024-10-23,"Hypo",NA,182.4434,184.133,1.722,NA,0.0071,31.9182,10.0884,3.4702,NA
"355","Bde Maka Ska",2024-10-23,"Epi",33.24,3.8503,41.305,0.781,NA,0.0074,26.3174,10.2293,3.5162,NA
"356","Cedar",2024-10-23,"Hypo",NA,333.6588,396.159,3.64,NA,0.009,36.5171,13.9702,2.7169,NA
"357","Cedar",2024-10-23,"Epi",17.75,2.4331,38.55,0.995,NA,0.0187,27.3454,12.4189,2.3821,NA
"358","Brownie",2024-10-23,"Hypo",NA,4074.876,3903.44,25.856,NA,0.0083,51.5285,13.726,6.6758,NA
"359","Brownie",2024-10-23,"Epi",NA,2.7782,NA,NA,NA,0.0614,41.3252,10.334,10.9192,NA
"360","McCarrons",2024-10-24,"Epi",7.27,3.2109,28.252,0.907,NA,0.011,27.391,10.8924,2.3654,NA
"361","Parkers",2024-11-12,"Hypo",6.47,16.4104,36.7575,0.941,NA,0.0467,31.6879,9.598,2.7346,NA
"362","Parkers",2024-11-12,"Epi",6.25,17.6077,46.0084,0.9261,NA,0.0497,31.8539,9.7822,2.7052,NA
"363","Tanners",2024-11-14,"Hypo",7.52,542.047,705.4122,3.1771,NA,0.0318,40.6023,14.1044,4.9906,NA
"364","Tanners",2024-11-14,"Epi",15.36,23.7684,84.3608,1.5022,NA,0.0634,34.0991,15.4212,4.0597,NA
"365","Little Johanna",2025-01-08,"Hypo",NA,1727.7308,NA,NA,NA,NA,91.3084,20.3534,NA,NA
"366","Snail",2025-01-08,"Hypo",NA,4.3166,NA,NA,NA,NA,28.5092,14.446,NA,NA
"367","Tanners",2025-01-06,"Hypo",NA,27.0521,NA,NA,NA,NA,35.8296,15.1751,NA,NA
"368","McCarrons",2025-01-07,"Hypo",NA,13.4686,NA,NA,NA,NA,36.7879,11.5586,NA,NA
"369","Phalen",2025-01-07,"Hypo",NA,71.7901,NA,NA,NA,NA,34.8502,14.7195,NA,NA
"370","Wabasso",NA,"Hypo",NA,85.0443,NA,NA,NA,NA,25.8269,16.0211,NA,NA
